#TYPE,PERIODE,IDENTIFIANT,ACCISE,CERTIFICATION / COULEUR CAPSULE, GENRE, APPELLATION / CENTILITRAGE,MENTION,LIEU,COULEUR,CEPAGE,TYPE DOCUMENT,TYPE MOUVEMENT,QUANTITE,DATE NON APUREMENT,NUMERO ACCISE DESTINATAIRE NON APUREMENT,NUMERO DOCUMENT ACCOMPAGNEMENT,OBSERVATIONS
ANNEXE,201509,11223301,FR01234567890,,,,,,,,DAADAC,debut,,,,123456789,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,DAADAC,fin,,,,123456793,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,DSADSAC,debut,,,,123457777,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,DSADSAC,fin,,,,123458888,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,EMPREINTE,debut,,,,123,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,EMPREINTE,fin,,,,121,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,NONAPUREMENT,,,23/09/2015, FR02345670001,12345678901111,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,NONAPUREMENT,,,23/09/2015, FR02345670001,12345678902222,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,NONAPUREMENT,,,23/09/2015, FR02345670001,12345678902228,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,SUCRE,,"39,2",,,,
ANNEXE,201509,11223301,FR01234567890,,,,,,,,OBSERVATIONS,,,,,,Ici les observations liées à la DRM
